,City,Cloudiness,Country,Humidity,Date,Lat,Lng,Max Temp,Wind Speed
0,san patricio,57,PY,96,1558330339,-26.98,-56.83,64.54,4.83
1,kapaa,90,US,78,1558330131,22.08,-159.32,80.6,17.22
2,coquimbo,90,CL,93,1558330348,-29.95,-71.34,53.6,4.7
3,tromso,0,NO,70,1558330382,69.65,18.96,53.6,5.82
4,ilulissat,12,GL,92,1558330356,69.22,-51.1,30.2,2.24
5,asyut,0,EG,50,1558330506,27.18,31.19,75.2,4.7
6,evanton,75,GB,100,1558330227,57.66,-4.34,52.0,5.82
7,camabatela,69,AO,96,1558330507,-8.19,15.37,67.6,3.51
8,kaele,100,CM,60,1558330507,10.11,14.45,84.52,8.63
9,busselton,99,AU,43,1558330355,-33.64,115.35,66.0,16.82
10,jamestown,0,AU,48,1558330239,-33.21,138.6,65.44,10.04
11,zabaykalsk,47,CN,34,1558330507,49.64,117.33,55.18,23.0
12,souillac,90,FR,100,1558330508,45.6,-0.6,53.01,3.36
13,albany,90,US,73,1558330504,42.65,-73.75,72.0,11.41
14,lima,90,PE,93,1558330353,-12.06,-77.04,64.99,8.05
15,cabedelo,75,BR,100,1558330508,-6.97,-34.84,75.2,5.82
16,clyde river,90,CA,100,1558330509,70.47,-68.59,23.0,9.17
17,rusera,0,IN,21,1558330509,25.75,86.02,103.06,7.07
18,bethel,20,US,44,1558330343,60.79,-161.76,60.8,13.87
19,ahipara,100,NZ,96,1558330509,-35.17,173.16,59.0,16.17
20,saskylakh,8,RU,87,1558330510,71.97,114.09,14.68,3.67
21,kavieng,71,PG,65,1558330365,-2.57,150.8,86.14,3.67
22,agadir,0,MA,87,1558330349,30.42,-9.58,57.2,25.7
23,talnakh,20,RU,85,1558330510,69.49,88.39,23.0,22.37
24,narsaq,58,GL,52,1558330510,60.91,-46.05,42.8,2.24
25,srednekolymsk,100,RU,62,1558330510,67.46,153.71,26.02,14.63
26,salalah,40,OM,70,1558330358,17.01,54.1,87.8,12.75
27,aklavik,40,CA,61,1558330511,68.22,-135.01,46.4,5.82
28,puerto ayora,56,EC,85,1558330357,-0.74,-90.35,76.06,10.67
29,pangnirtung,77,CA,91,1558330367,66.15,-65.72,27.1,1.05
30,dukat,70,RS,87,1558330363,42.44,22.31,55.99,4.16
31,torbay,90,CA,93,1558330512,47.66,-52.73,37.0,20.8
32,sorong,79,ID,71,1558330512,-0.86,131.25,86.86,3.8
33,tuatapere,100,NZ,83,1558330513,-46.13,167.69,53.01,15.01
34,klyuchi,29,RU,30,1558330513,52.25,79.17,64.9,11.5
35,nikolskoye,0,RU,62,1558330513,59.7,30.79,62.01,11.18
36,mataura,100,NZ,83,1558330344,-46.19,168.86,53.01,15.01
37,hamilton,75,BM,88,1558330514,32.3,-64.78,71.6,1.12
38,atuona,29,PF,78,1558330361,-9.8,-139.03,82.54,17.52
39,punta arenas,40,CL,61,1558330357,-53.16,-70.91,46.4,48.32
40,palmer,90,US,54,1558330198,61.6,-149.11,55.99,6.93
41,bogande,90,BF,45,1558330515,12.97,-0.14,90.28,18.48
42,kamenka,0,RU,52,1558330515,53.19,44.05,50.68,7.9
43,rikitea,72,PF,83,1558330344,-23.12,-134.97,76.06,11.03
44,hermanus,100,ZA,98,1558330365,-34.42,19.24,57.99,5.99
45,xinan,20,CN,74,1558330517,22.55,113.89,95.0,8.95
46,namatanai,95,PG,84,1558330517,-3.66,152.44,80.2,3.83
47,trairi,99,BR,99,1558330517,-3.28,-39.27,72.1,3.09
48,beringovskiy,31,RU,84,1558330517,63.05,179.32,29.8,6.76
49,sacosu turcesc,75,RO,100,1558330518,45.65,21.43,68.0,3.36
50,chokurdakh,16,RU,89,1558330371,70.62,147.9,13.96,4.29
51,chimoio,0,MZ,100,1558330518,-19.11,33.48,59.0,1.63
52,saint-joseph,20,FR,100,1558330518,43.56,6.97,54.0,3.36
53,ushuaia,75,AR,69,1558330048,-54.81,-68.31,39.2,33.33
54,georgetown,90,GY,100,1558330338,6.8,-58.16,75.2,6.93
55,westport,20,IE,100,1558330519,53.8,-9.52,50.0,8.05
56,coruripe,100,BR,96,1558330520,-10.12,-36.18,71.38,3.87
