City,Cloudiness,Country,Humidity,Date,Lat,Lng,Max Temp,Wind Speed
abu samrah,11,SY,27,1559251333,35.3,37.18,84.5,8.72
rikitea,73,PF,81,1559251333,-23.12,-134.97,77.3,14.7
comodoro rivadavia,0,AR,65,1559251333,-45.87,-67.48,46.4,6.93
sar-e pul,0,AF,31,1559251333,36.22,65.93,80.18,4.7
albany,40,US,64,1559251118,42.65,-73.75,73.99,6.93
batagay-alyta,95,RU,93,1559251334,67.8,130.41,33.56,2.75
haines junction,56,CA,26,1559251334,60.75,-137.51,59.12,8.08
lagoa,0,PT,56,1559251334,37.14,-8.45,72.0,9.17
busselton,83,AU,35,1559251335,-33.64,115.35,63.0,14.67
kedougou,75,SN,27,1559251335,12.56,-12.19,98.6,9.17
hithadhoo,100,MV,77,1559251335,-0.6,73.08,82.7,14.63
khatanga,100,RU,89,1559251335,71.98,102.47,42.02,16.71
pacifica,75,US,67,1559251321,37.61,-122.49,68.0,19.46
sarangani,84,PH,70,1559251335,5.4,125.46,85.04,10.2
vaini,93,IN,84,1559251336,15.34,74.49,80.36,3.6
avarua,98,CK,74,1559251336,-21.21,-159.78,78.8,16.11
punta arenas,0,CL,86,1559251336,-53.16,-70.91,39.2,4.7
ushuaia,40,AR,74,1559251336,-54.81,-68.31,39.2,4.7
acapulco,75,MX,66,1559251336,16.86,-99.88,89.6,8.05
constitucion,0,MX,12,1559251337,23.99,-104.67,86.0,3.0
sept-iles,90,CA,87,1559251126,50.2,-66.38,46.0,17.22
barabai,100,ID,99,1559251337,-2.59,115.38,73.52,1.1
los llanos de aridane,2,ES,77,1559251337,28.66,-17.92,68.0,14.99
sitka,0,US,33,1559251337,37.17,-99.65,77.0,5.99
neuquen,75,AR,87,1559251337,-38.95,-68.06,46.4,3.36
hasaki,75,JP,82,1559251338,35.73,140.83,64.4,5.82
stromness,90,CA,77,1559251338,42.87,-79.55,71.6,10.29
baruun-urt,1,MN,43,1559251338,46.68,113.28,46.52,9.06
vila franca do campo,20,PT,93,1559251338,37.72,-25.43,66.2,6.93
biak,98,ID,99,1559251338,-0.91,122.88,65.6,3.56
marawi,70,PH,90,1559251338,8.0,124.29,75.99,8.01
carnarvon,53,ZA,27,1559251223,-30.97,22.13,59.48,7.54
jinxiang,0,CN,61,1559251339,35.07,116.31,69.01,1.77
mataura,88,NZ,95,1559251339,-46.19,168.86,39.14,4.14
upington,4,ZA,29,1559251339,-28.46,21.24,60.8,6.93
cherskiy,70,RU,48,1559251339,68.75,161.3,54.08,5.28
luderitz,39,NA,87,1559251339,-26.65,15.16,57.2,6.93
sao filipe,0,CV,87,1559251340,14.9,-24.5,74.6,15.41
dera bugti,0,PK,9,1559251340,29.03,69.15,93.5,8.34
fairbanks,1,US,32,1559251274,64.84,-147.72,71.01,3.36
mackenzie,1,CA,23,1559251340,55.34,-123.09,77.0,4.7
ribeira grande,40,PT,94,1559251340,38.52,-28.7,68.0,9.17
sandwick,100,GB,100,1559251341,54.57,-2.89,59.0,16.11
mattru,100,SL,94,1559251341,7.62,-11.83,76.94,3.56
upernavik,0,GL,83,1559251083,72.79,-56.15,32.48,4.41
thompson,90,CA,74,1559251341,55.74,-97.86,37.4,4.7
pangnirtung,20,CA,53,1559251341,66.15,-65.72,35.6,9.17
cap malheureux,40,MU,77,1559251341,-19.98,57.61,68.0,6.93
georgetown,20,GY,83,1559251102,6.8,-58.16,86.0,13.87
kayes,93,ML,9,1559251342,14.44,-11.44,111.68,8.72
port alfred,88,ZA,74,1559251342,-33.59,26.89,57.86,3.53
faya,20,SA,56,1559251343,18.39,42.45,71.6,4.7
ossora,91,RU,58,1559251343,59.24,163.07,50.84,5.21
shelburne,1,CA,56,1559251155,44.08,-80.2,73.0,11.41
longyearbyen,75,NO,69,1559251343,78.22,15.63,33.8,32.21
okhotsk,100,RU,86,1559251343,59.36,143.24,42.56,28.25
mar del plata,59,AR,55,1559251343,-46.43,-67.52,40.58,8.37
butaritari,100,KI,81,1559251343,3.07,172.79,82.7,16.24
nara,100,JP,68,1559251344,34.68,135.8,69.8,6.93
tiksi,90,RU,95,1559251344,71.64,128.87,32.12,6.91
boditi,75,ET,70,1559251344,6.95,37.86,67.58,2.06
lebu,60,ET,70,1559251344,8.96,38.73,61.82,1.9
cayenne,75,GF,88,1559251344,4.94,-52.33,78.8,11.41
hobart,75,AU,81,1559251148,-42.88,147.33,52.0,6.93
kodiak,75,US,64,1559251345,39.95,-94.76,75.0,6.93
aranos,0,NA,21,1559251345,-24.14,19.11,63.44,12.82
fairlie,1,US,42,1559251345,33.31,-95.96,86.0,8.05
brae,8,GB,65,1559251345,60.4,-1.35,46.4,11.41
tuatapere,59,NZ,66,1559251345,-46.13,167.69,48.5,10.98
shahreza,44,IR,40,1559251346,32.01,51.87,66.14,12.33
biu,81,NG,59,1559251346,10.61,12.19,81.44,5.08
east london,100,ZA,38,1559251346,-33.02,27.91,63.26,4.41
cape town,0,ZA,93,1559251323,-33.93,18.42,57.0,3.36
karratha,0,AU,26,1559251346,-20.74,116.85,70.46,17.0
puerto berrio,100,CO,65,1559251346,6.49,-74.4,83.6,3.27
vihari,0,PK,7,1559251347,30.03,72.35,100.16,5.55
esmeraldas,20,BR,57,1559251213,-19.76,-44.31,77.0,5.82
airai,48,TL,78,1559251347,-8.93,125.41,73.88,8.5
banyo,88,CM,91,1559251347,6.75,11.81,63.98,3.62
dikson,79,RU,89,1559251347,73.51,80.55,30.5,21.79
ust-omchug,100,RU,65,1559251347,61.13,149.63,48.86,5.64
port elizabeth,40,US,78,1559251348,39.31,-74.98,80.6,4.7
torbay,40,CA,70,1559251297,47.66,-52.73,45.0,11.41
atuona,7,PF,76,1559251348,-9.8,-139.03,83.24,17.05
bredasdorp,82,ZA,87,1559251348,-34.53,20.04,50.0,2.24
vilhena,20,BR,58,1559251348,-12.74,-60.15,82.4,9.17
cockburn town,1,TC,79,1559251164,21.46,-71.14,80.9,16.37
casino,0,AU,80,1559251349,-28.86,153.05,41.0,6.93
jamestown,1,AU,92,1559251349,-33.21,138.6,43.64,1.5
merauke,79,ID,81,1559251349,-8.49,140.4,81.62,22.64
puerto ayora,20,EC,69,1559251350,-0.74,-90.35,80.6,21.92
guerrero negro,4,MX,85,1559251350,27.97,-114.04,62.9,13.78
deshnok,0,IN,18,1559251350,27.8,73.34,98.9,14.94
mastic beach,90,US,82,1559251341,40.77,-72.85,64.99,9.17
coahuayana,30,MX,23,1559251350,18.62,-100.35,104.3,3.11
kalmunai,100,LK,86,1559251350,7.42,81.82,77.66,3.4
portland,1,US,56,1559251063,45.52,-122.67,75.0,4.52
lerwick,8,GB,65,1559251351,60.15,-1.15,46.4,8.05
bad hofgastein,40,AT,87,1559251351,47.17,13.11,50.0,9.17
lake charles,1,US,66,1559251193,30.23,-93.22,86.0,4.7
anamur,0,TR,88,1559251351,36.08,32.84,68.0,2.24
etoka,0,RU,59,1559251351,43.91,43.04,69.8,2.24
sao joao da barra,0,BR,74,1559251352,-21.64,-41.05,78.8,14.99
harrison,40,US,64,1559251352,39.26,-84.82,77.0,9.17
hilo,90,US,61,1559251197,19.71,-155.08,81.0,11.92
mogadishu,38,SO,81,1559251352,2.04,45.34,79.28,12.57
qaanaaq,0,GL,74,1559251352,77.48,-69.36,31.4,2.82
dunedin,86,NZ,83,1559251054,-45.87,170.5,48.0,4.81
hanzhong,23,CN,71,1559251353,33.08,107.03,59.48,2.46
cabo san lucas,0,MX,74,1559251327,22.89,-109.91,87.01,3.0
quang ngai,100,VN,79,1559251353,15.12,108.8,76.04,2.62
husavik,39,CA,24,1559251353,50.56,-96.99,81.0,2.46
homer,90,US,66,1559251353,59.64,-151.54,55.4,22.55
kahului,20,US,54,1559251222,20.89,-156.47,84.2,11.41
samarai,100,PG,90,1559251354,-10.62,150.67,74.42,5.39
mayma,44,RU,91,1559251354,52.0,85.9,50.12,5.66
severo-kurilsk,100,RU,93,1559251354,50.68,156.12,39.5,38.36
arraial do cabo,0,BR,78,1559251354,-22.97,-42.02,77.0,12.75
